Country,Year,Waste,Income,Education,Women,Household,Age,Urban
Estonia,2020,414.1015338124992,12228.0,35.2,76.9,2.1,42.3,0.6922901614264376
Ireland,2020,387.3720225032917,26766.0,42.8,65.8,2.7,38.0,0.6365299589880976
Spain,2020,475.7029505653762,16043.0,36.0,60.0,2.5,44.2,0.8081000041063509
France,2020,497.13531879281294,22143.0,35.3,69.3,2.2,41.9,0.8097500015798172
Italy,2020,485.3180893139353,18067.0,17.8,52.1,2.3,47.2,0.710389993911558
Cyprus,2020,426.1034566246812,16704.0,40.2,69.1,2.6,37.7,0.6682103242165689
Latvia,2020,337.7881452553501,8827.0,33.2,75.1,2.3,43.7,0.6831501397827566
Lithuania,2020,497.163499914768,8606.0,38.7,75.8,2.2,44.4,0.6804598400291962
Luxembourg,2020,323.027337136724,37844.0,40.9,68.5,2.2,39.5,0.9145298602992614
Hungary,2020,489.3765088690954,6478.0,23.6,71.0,2.3,43.3,0.7194199801459444
Malta,2020,383.6788998844335,16240.0,28.2,66.0,2.4,39.8,0.9474397087702684
Austria,2020,520.1963495600077,26555.0,31.3,70.6,2.2,43.5,0.5874799705367268
Poland,2020,348.533587184914,8022.0,29.3,65.4,2.8,41.3,0.6004300105517101
Portugal,2020,508.7519077586926,10800.0,24.8,71.2,2.5,45.9,0.6630999600760643
Romania,2020,220.2351222561853,4267.0,16.2,55.4,2.6,42.8,0.5419400215413763
Slovenia,2020,300.622035526211,14774.0,31.5,71.7,2.5,44.1,0.5511798552048854
Slovakia,2020,432.68888814378784,8703.0,23.9,70.9,2.9,41.0,0.5375999276034943
Finland,2020,448.0221135824134,25490.0,39.8,73.8,2.0,43.1,0.8551699480409141
Sweden,2020,449.8420686570699,24700.0,38.3,77.5,2.0,40.5,0.8797700320337912
Norway,2020,481.563572410658,40241.0,38.8,77.9,2.0,39.9,0.829740076866237
Türkiye,2020,342.6087791212355,3128.0,19.7,32.0,3.3,32.4,0.7610500034298866
Belgium,2021,438.7267380896048,25855.0,39.7,66.8,2.3,41.8,0.9811700044751536
Bulgaria,2021,370.7462759675533,5157.0,26.1,69.1,2.4,46.4,0.7602499831703511
Czechia,2021,490.559029730013,10625.0,23.4,72.1,2.3,43.6,0.7421400350207485
Denmark,2021,588.1347981315688,32088.0,34.8,75.5,2.0,42.2,0.8823999659878639
Germany,2021,449.5279472209827,24946.0,28.0,75.6,2.0,45.9,0.7754400033136177
Estonia,2021,425.2699986804853,12623.0,36.0,77.5,2.1,42.5,0.6941496635440428
Ireland,2021,372.1811716786077,28762.0,45.4,69.9,2.7,38.4,0.6391200445683868
Spain,2021,487.4082735731114,15892.0,36.2,62.1,2.5,44.6,0.8105600003239427
France,2021,503.9807951013935,22732.0,36.3,70.2,2.2,42.0,0.8124200021297348
Italy,2021,488.7729827705748,17532.0,17.8,53.2,2.3,47.6,0.7134600066192963
Cyprus,2021,424.00170648202015,16686.0,41.9,70.8,2.6,38.0,0.6685597353454624
Latvia,2021,355.72370994210326,9437.0,34.2,72.9,2.3,43.9,0.684210051525877
Lithuania,2021,500.62629881308527,9669.0,39.8,76.7,2.1,44.5,0.6824901395617528
Luxembourg,2021,364.897787180627,42482.0,44.5,70.3,2.2,39.6,0.9167192655734426
